Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.351132 s; user: 0.351135 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.144734 s; user: 0.144738 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.151658 s; user: 0.151660 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.656274 s; user: 0.656266 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.403548 s; user: 0.403553 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.423085 s; user: 0.423080 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.871195 s; user: 1.871190 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.428373 s; user: 1.428365 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.477251 s; user: 1.477253 s
