Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.023171 s; user: 0.023132 s
Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.008996 s; user: 0.008997 s
Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.009856 s; user: 0.009783 s
Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.040886 s; user: 0.040889 s
Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.024857 s; user: 0.024858 s
Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.026026 s; user: 0.025964 s
Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.121728 s; user: 0.121583 s
Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.088191 s; user: 0.088043 s
Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.092367 s; user: 0.092302 s
