Testing UnsaturatedSolinas 2^285-9 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 12; s := 62165404551223330269422781018352605012557018849668464680057997111644937126566671941632; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.474056 s; user: 0.473699 s
Testing UnsaturatedSolinas 2^285-9 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 12; s := 62165404551223330269422781018352605012557018849668464680057997111644937126566671941632; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.192478 s; user: 0.192275 s
Testing UnsaturatedSolinas 2^285-9 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 12; s := 62165404551223330269422781018352605012557018849668464680057997111644937126566671941632; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.202813 s; user: 0.202633 s
Testing UnsaturatedSolinas 2^285-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 12; s := 62165404551223330269422781018352605012557018849668464680057997111644937126566671941632; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.857651 s; user: 0.856731 s
Testing UnsaturatedSolinas 2^285-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 12; s := 62165404551223330269422781018352605012557018849668464680057997111644937126566671941632; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.523379 s; user: 0.522801 s
Testing UnsaturatedSolinas 2^285-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 12; s := 62165404551223330269422781018352605012557018849668464680057997111644937126566671941632; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.553412 s; user: 0.552889 s
Testing UnsaturatedSolinas 2^285-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 12; s := 62165404551223330269422781018352605012557018849668464680057997111644937126566671941632; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.300450 s; user: 2.295650 s
Testing UnsaturatedSolinas 2^285-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 12; s := 62165404551223330269422781018352605012557018849668464680057997111644937126566671941632; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.775709 s; user: 1.769655 s
Testing UnsaturatedSolinas 2^285-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 12; s := 62165404551223330269422781018352605012557018849668464680057997111644937126566671941632; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.844247 s; user: 1.837980 s
