Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.261550 s; user: 0.261527 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.093146 s; user: 0.093140 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.097503 s; user: 0.097505 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.397361 s; user: 0.397359 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.209957 s; user: 0.209961 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.224281 s; user: 0.224285 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 8; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.968432 s; user: 0.968430 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 8; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.683910 s; user: 0.683906 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 8; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.722102 s; user: 0.722100 s
