Testing UnsaturatedSolinas 2^256-189 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 12; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.422980 s; user: 0.422983 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 12; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.176538 s; user: 0.176541 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 12; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.183329 s; user: 0.183333 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 12; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.804354 s; user: 0.804351 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 12; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.491086 s; user: 0.491084 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 12; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.520543 s; user: 0.520543 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 12; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.233211 s; user: 2.233208 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 12; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.752142 s; user: 1.752132 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 12; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.815806 s; user: 1.815802 s
