Testing UnsaturatedSolinas 2^444-17 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 19; s := 45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788416; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.479320 s; user: 2.479281 s
Testing UnsaturatedSolinas 2^444-17 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 19; s := 45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788416; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.938556 s; user: 0.938523 s
Testing UnsaturatedSolinas 2^444-17 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 19; s := 45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788416; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.946561 s; user: 0.946563 s
Testing UnsaturatedSolinas 2^444-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 19; s := 45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788416; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 3.744752 s; user: 3.744705 s
Testing UnsaturatedSolinas 2^444-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 19; s := 45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788416; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 2.037832 s; user: 2.037805 s
Testing UnsaturatedSolinas 2^444-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 19; s := 45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788416; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 2.110691 s; user: 2.110669 s
Testing UnsaturatedSolinas 2^444-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 19; s := 45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788416; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 8.267031 s; user: 8.266953 s
Testing UnsaturatedSolinas 2^444-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 19; s := 45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788416; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 6.119257 s; user: 6.119179 s
Testing UnsaturatedSolinas 2^444-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 19; s := 45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788416; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 6.212013 s; user: 6.211947 s
