Testing UnsaturatedSolinas 2^251-9 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.091657 s; user: 0.091657 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.036040 s; user: 0.036042 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.038173 s; user: 0.038176 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.160426 s; user: 0.160429 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.092587 s; user: 0.092589 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.099536 s; user: 0.099538 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.456091 s; user: 0.456020 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.339452 s; user: 0.339456 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.354594 s; user: 0.354566 s
