Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 24; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 5.972555 s; user: 5.972515 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 24; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 2.207656 s; user: 2.207642 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 24; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 2.209033 s; user: 2.209025 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 24; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 8.231174 s; user: 8.231174 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 24; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 4.317125 s; user: 4.317135 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 24; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 4.381876 s; user: 4.381847 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 24; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 16.656598 s; user: 16.656614 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 24; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 12.131588 s; user: 12.131580 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 24; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 12.066149 s; user: 12.066173 s
