Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.093396 s; user: 0.093396 s
Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.035658 s; user: 0.035659 s
Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.037856 s; user: 0.037858 s
Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.161634 s; user: 0.161636 s
Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.092460 s; user: 0.092462 s
Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.095562 s; user: 0.095564 s
Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.452914 s; user: 0.452897 s
Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.337333 s; user: 0.337330 s
Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.354337 s; user: 0.354340 s
