Testing UnsaturatedSolinas 2^166-5 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.020782 s; user: 0.020738 s
Testing UnsaturatedSolinas 2^166-5 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.008481 s; user: 0.008484 s
Testing UnsaturatedSolinas 2^166-5 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.009196 s; user: 0.009197 s
Testing UnsaturatedSolinas 2^166-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.038676 s; user: 0.038645 s
Testing UnsaturatedSolinas 2^166-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.022738 s; user: 0.022740 s
Testing UnsaturatedSolinas 2^166-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.024895 s; user: 0.024897 s
Testing UnsaturatedSolinas 2^166-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.118048 s; user: 0.118052 s
Testing UnsaturatedSolinas 2^166-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.085557 s; user: 0.085560 s
Testing UnsaturatedSolinas 2^166-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.092380 s; user: 0.092382 s
