Testing UnsaturatedSolinas 2^511-187 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 4.692962 s; user: 4.692941 s
Testing UnsaturatedSolinas 2^511-187 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.690990 s; user: 1.690995 s
Testing UnsaturatedSolinas 2^511-187 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.706217 s; user: 1.706202 s
Testing UnsaturatedSolinas 2^511-187 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 6.486453 s; user: 6.486458 s
Testing UnsaturatedSolinas 2^511-187 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 3.346001 s; user: 3.346011 s
Testing UnsaturatedSolinas 2^511-187 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 3.426047 s; user: 3.426045 s
Testing UnsaturatedSolinas 2^511-187 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 13.029840 s; user: 13.029850 s
Testing UnsaturatedSolinas 2^511-187 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 9.251274 s; user: 9.251276 s
Testing UnsaturatedSolinas 2^511-187 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 9.228155 s; user: 9.228156 s
