Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.023021 s; user: 0.023022 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.009817 s; user: 0.009819 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.009791 s; user: 0.009793 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.041128 s; user: 0.041061 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.024120 s; user: 0.024122 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.025889 s; user: 0.025891 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.120402 s; user: 0.120272 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.087046 s; user: 0.086980 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.093489 s; user: 0.093371 s
