Testing UnsaturatedSolinas 2^213-3 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.056570 s; user: 0.056571 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.023341 s; user: 0.023343 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.025168 s; user: 0.025170 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.109205 s; user: 0.109208 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.062841 s; user: 0.062811 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.070198 s; user: 0.070200 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.315547 s; user: 0.315551 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.236151 s; user: 0.236154 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.249603 s; user: 0.249599 s
