Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 14; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.754546 s; user: 0.754552 s
Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 14; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.303501 s; user: 0.303498 s
Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 14; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.311420 s; user: 0.311419 s
Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 14; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.315541 s; user: 1.315534 s
Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 14; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.792939 s; user: 0.792938 s
Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 14; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.821982 s; user: 0.821973 s
Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 14; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 3.458385 s; user: 3.458387 s
Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 14; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 2.639889 s; user: 2.639833 s
Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 14; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 2.726610 s; user: 2.726610 s
