Testing UnsaturatedSolinas 2^198-17 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 401734511064747568885490523085290650630550748445698208825344; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.054948 s; user: 0.054865 s
Testing UnsaturatedSolinas 2^198-17 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 401734511064747568885490523085290650630550748445698208825344; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.022870 s; user: 0.022871 s
Testing UnsaturatedSolinas 2^198-17 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 401734511064747568885490523085290650630550748445698208825344; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.023797 s; user: 0.023799 s
Testing UnsaturatedSolinas 2^198-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 401734511064747568885490523085290650630550748445698208825344; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.105390 s; user: 0.105391 s
Testing UnsaturatedSolinas 2^198-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 401734511064747568885490523085290650630550748445698208825344; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.061603 s; user: 0.061605 s
Testing UnsaturatedSolinas 2^198-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 401734511064747568885490523085290650630550748445698208825344; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.066662 s; user: 0.066664 s
Testing UnsaturatedSolinas 2^198-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 401734511064747568885490523085290650630550748445698208825344; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.322735 s; user: 0.312057 s
Testing UnsaturatedSolinas 2^198-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 401734511064747568885490523085290650630550748445698208825344; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.230393 s; user: 0.230046 s
Testing UnsaturatedSolinas 2^198-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 401734511064747568885490523085290650630550748445698208825344; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.244210 s; user: 0.243916 s
