Testing UnsaturatedSolinas 2^383-187 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 16; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.309585 s; user: 1.309572 s
Testing UnsaturatedSolinas 2^383-187 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 16; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.499071 s; user: 0.499076 s
Testing UnsaturatedSolinas 2^383-187 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 16; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.513046 s; user: 0.513041 s
Testing UnsaturatedSolinas 2^383-187 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 16; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.105590 s; user: 2.105530 s
Testing UnsaturatedSolinas 2^383-187 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 16; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.194947 s; user: 1.194946 s
Testing UnsaturatedSolinas 2^383-187 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 16; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.244191 s; user: 1.244185 s
Testing UnsaturatedSolinas 2^383-187 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 16; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 5.057678 s; user: 5.057605 s
Testing UnsaturatedSolinas 2^383-187 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 16; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 3.813568 s; user: 3.813478 s
Testing UnsaturatedSolinas 2^383-187 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 16; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 3.896482 s; user: 3.896477 s
