Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 16; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.322665 s; user: 1.322660 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 16; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.509088 s; user: 0.509082 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 16; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.525097 s; user: 0.525102 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 16; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.082830 s; user: 2.082824 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 16; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.218276 s; user: 1.218278 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 16; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.236568 s; user: 1.236562 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 16; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 4.969249 s; user: 4.969259 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 16; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 3.792922 s; user: 3.792927 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 16; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 3.880504 s; user: 3.880491 s
