Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 17; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.545113 s; user: 1.545117 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 17; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.593730 s; user: 0.593724 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 17; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.595039 s; user: 0.595039 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 17; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.447725 s; user: 2.447714 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 17; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.369090 s; user: 1.369088 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 17; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.426844 s; user: 1.426835 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 17; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 5.795294 s; user: 5.795279 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 17; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 4.351778 s; user: 4.350888 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 17; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 4.443443 s; user: 4.443428 s
