Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.199496 s; user: 0.199498 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.068823 s; user: 0.068826 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.071941 s; user: 0.071943 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.308263 s; user: 0.308258 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.150273 s; user: 0.150276 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.164565 s; user: 0.164568 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 7; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.725399 s; user: 0.725385 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 7; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.501895 s; user: 0.501903 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 7; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.529595 s; user: 0.529590 s
