Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.031204 s; user: 0.031205 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.013282 s; user: 0.013283 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.014214 s; user: 0.014215 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.061249 s; user: 0.061251 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.037899 s; user: 0.037901 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.041676 s; user: 0.041678 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.193849 s; user: 0.193852 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.147836 s; user: 0.147828 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.158312 s; user: 0.158314 s
