Testing UnsaturatedSolinas 2^243-9 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.256455 s; user: 0.256186 s
Testing UnsaturatedSolinas 2^243-9 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.107517 s; user: 0.107393 s
Testing UnsaturatedSolinas 2^243-9 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.111298 s; user: 0.111062 s
Testing UnsaturatedSolinas 2^243-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.478686 s; user: 0.478227 s
Testing UnsaturatedSolinas 2^243-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.300816 s; user: 0.300551 s
Testing UnsaturatedSolinas 2^243-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.315853 s; user: 0.315410 s
Testing UnsaturatedSolinas 2^243-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 10; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.383833 s; user: 1.382341 s
Testing UnsaturatedSolinas 2^243-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 10; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.072723 s; user: 1.071578 s
Testing UnsaturatedSolinas 2^243-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 10; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.116099 s; user: 1.114885 s
