Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 13; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.669823 s; user: 0.669815 s
Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 13; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.261990 s; user: 0.261994 s
Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 13; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.270656 s; user: 0.270629 s
Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 13; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.101364 s; user: 1.101365 s
Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 13; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.650075 s; user: 0.650074 s
Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 13; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.674193 s; user: 0.674160 s
Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 13; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.798171 s; user: 2.798148 s
Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 13; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 2.122257 s; user: 2.122235 s
Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 13; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 2.198299 s; user: 2.198265 s
