Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 12; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.430663 s; user: 0.430666 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 12; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.178676 s; user: 0.178669 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 12; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.184687 s; user: 0.184610 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 12; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.802357 s; user: 0.802354 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 12; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.496527 s; user: 0.496533 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 12; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.526289 s; user: 0.526284 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 12; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.281028 s; user: 2.281019 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 12; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.763213 s; user: 1.763206 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 12; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.820929 s; user: 1.820907 s
