Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 17; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.529775 s; user: 1.529769 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 17; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.578079 s; user: 0.578084 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 17; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.598342 s; user: 0.598334 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 17; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.477737 s; user: 2.477727 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 17; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.412573 s; user: 1.412567 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 17; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.458831 s; user: 1.458810 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 17; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 5.933392 s; user: 5.933369 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 17; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 4.498020 s; user: 4.498003 s
Testing UnsaturatedSolinas 2^384-317 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 17; s := 39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816; c := [(1, 317)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 4.570139 s; user: 4.570134 s
