Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.197217 s; user: 0.197219 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.072674 s; user: 0.072677 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.073061 s; user: 0.073064 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.308522 s; user: 0.308526 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.160050 s; user: 0.160040 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.170759 s; user: 0.170762 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 7; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.725598 s; user: 0.725593 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 7; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.506735 s; user: 0.506734 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 7; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.534455 s; user: 0.534449 s
