Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.023750 s; user: 0.023626 s
Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.008962 s; user: 0.008922 s
Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.009639 s; user: 0.009641 s
Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.042006 s; user: 0.042008 s
Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.024305 s; user: 0.024237 s
Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.026518 s; user: 0.026520 s
Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.122621 s; user: 0.122501 s
Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.087304 s; user: 0.087241 s
Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.092367 s; user: 0.092252 s
