Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 4.730992 s; user: 4.730883 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.707246 s; user: 1.707241 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.738013 s; user: 1.738007 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 6.543558 s; user: 6.543569 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 3.367324 s; user: 3.367338 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 3.411107 s; user: 3.411097 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 13.087689 s; user: 13.087674 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 9.403668 s; user: 9.403698 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 22; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 9.445053 s; user: 9.445032 s
