Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.082638 s; user: 0.082609 s
Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.040014 s; user: 0.040015 s
Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.042705 s; user: 0.042707 s
Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.189901 s; user: 0.189820 s
Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.127780 s; user: 0.126697 s
Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.134761 s; user: 0.134765 s
Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 7; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.605054 s; user: 0.605050 s
Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 7; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.467043 s; user: 0.467046 s
Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 7; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.501402 s; user: 0.501399 s
