Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.019374 s; user: 0.019373 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.008248 s; user: 0.008248 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.008784 s; user: 0.008682 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.035914 s; user: 0.035916 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.022342 s; user: 0.022344 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.024139 s; user: 0.024083 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.115448 s; user: 0.115319 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.086650 s; user: 0.086594 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.093784 s; user: 0.093710 s
