Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 11; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.346079 s; user: 0.343423 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 11; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.144692 s; user: 0.144694 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 11; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.148833 s; user: 0.148836 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 11; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.645371 s; user: 0.645369 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 11; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.396906 s; user: 0.396880 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 11; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.426968 s; user: 0.426960 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 11; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.808309 s; user: 1.808257 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 11; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.394115 s; user: 1.394111 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 11; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.468899 s; user: 1.468867 s
