Testing UnsaturatedSolinas 2^130-5 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.058847 s; user: 0.058750 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.028065 s; user: 0.028066 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.030577 s; user: 0.030579 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.132830 s; user: 0.132833 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.086449 s; user: 0.086452 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.094896 s; user: 0.094898 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.439004 s; user: 0.438999 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.337771 s; user: 0.337775 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.359617 s; user: 0.359613 s
