Testing UnsaturatedSolinas 2^369-25 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 16; s := 1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707712; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.264597 s; user: 1.264561 s
Testing UnsaturatedSolinas 2^369-25 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 16; s := 1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707712; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.491482 s; user: 0.491487 s
Testing UnsaturatedSolinas 2^369-25 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 16; s := 1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707712; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.499131 s; user: 0.499127 s
Testing UnsaturatedSolinas 2^369-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 16; s := 1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707712; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.059219 s; user: 2.059185 s
Testing UnsaturatedSolinas 2^369-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 16; s := 1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707712; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.186092 s; user: 1.186051 s
Testing UnsaturatedSolinas 2^369-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 16; s := 1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707712; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.228571 s; user: 1.228572 s
Testing UnsaturatedSolinas 2^369-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 16; s := 1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707712; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 5.032661 s; user: 5.032593 s
Testing UnsaturatedSolinas 2^369-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 16; s := 1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707712; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 3.820539 s; user: 3.813125 s
Testing UnsaturatedSolinas 2^369-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 16; s := 1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707712; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 3.899891 s; user: 3.899886 s
