Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.089906 s; user: 0.089908 s
Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.041943 s; user: 0.041945 s
Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.044254 s; user: 0.044256 s
Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.201183 s; user: 0.201186 s
Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.124952 s; user: 0.124944 s
Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.138548 s; user: 0.138551 s
Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 7; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.635320 s; user: 0.625514 s
Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 7; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.483428 s; user: 0.483330 s
Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 7; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.501948 s; user: 0.501856 s
