Testing UnsaturatedSolinas 2^222-117 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.042169 s; user: 0.042170 s
Testing UnsaturatedSolinas 2^222-117 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.016099 s; user: 0.016101 s
Testing UnsaturatedSolinas 2^222-117 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.017474 s; user: 0.017475 s
Testing UnsaturatedSolinas 2^222-117 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.073275 s; user: 0.073277 s
Testing UnsaturatedSolinas 2^222-117 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.043361 s; user: 0.043365 s
Testing UnsaturatedSolinas 2^222-117 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.044626 s; user: 0.044629 s
Testing UnsaturatedSolinas 2^222-117 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 4; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.205758 s; user: 0.205750 s
Testing UnsaturatedSolinas 2^222-117 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 4; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.149714 s; user: 0.149717 s
Testing UnsaturatedSolinas 2^222-117 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 4; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.159872 s; user: 0.159876 s
