Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.262159 s; user: 0.261896 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.094965 s; user: 0.094896 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.099449 s; user: 0.099328 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.412866 s; user: 0.412474 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.214099 s; user: 0.213794 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.232128 s; user: 0.231867 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 8; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.974888 s; user: 0.973876 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 8; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.691848 s; user: 0.691007 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 8; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.721008 s; user: 0.720283 s
