Testing UnsaturatedSolinas 2^190-11 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 1569275433846670190958947355801916604025588861116008628224; c := [(1, 11)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.135555 s; user: 0.135203 s
Testing UnsaturatedSolinas 2^190-11 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 1569275433846670190958947355801916604025588861116008628224; c := [(1, 11)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.060615 s; user: 0.060347 s
Testing UnsaturatedSolinas 2^190-11 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 1569275433846670190958947355801916604025588861116008628224; c := [(1, 11)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.064086 s; user: 0.063939 s
Testing UnsaturatedSolinas 2^190-11 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 1569275433846670190958947355801916604025588861116008628224; c := [(1, 11)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.279905 s; user: 0.278950 s
Testing UnsaturatedSolinas 2^190-11 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 1569275433846670190958947355801916604025588861116008628224; c := [(1, 11)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.183909 s; user: 0.183303 s
Testing UnsaturatedSolinas 2^190-11 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 1569275433846670190958947355801916604025588861116008628224; c := [(1, 11)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.194575 s; user: 0.193967 s
Testing UnsaturatedSolinas 2^190-11 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 8; s := 1569275433846670190958947355801916604025588861116008628224; c := [(1, 11)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.856740 s; user: 0.853899 s
Testing UnsaturatedSolinas 2^190-11 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 8; s := 1569275433846670190958947355801916604025588861116008628224; c := [(1, 11)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.654364 s; user: 0.652315 s
Testing UnsaturatedSolinas 2^190-11 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 8; s := 1569275433846670190958947355801916604025588861116008628224; c := [(1, 11)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.694042 s; user: 0.691771 s
