Testing UnsaturatedSolinas 2^389-21 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.269009 s; user: 0.269011 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.099511 s; user: 0.099514 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.102617 s; user: 0.102619 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.418220 s; user: 0.418179 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.223127 s; user: 0.223124 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.236073 s; user: 0.236075 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 8; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.964512 s; user: 0.964513 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 8; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.673409 s; user: 0.673374 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 8; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.707032 s; user: 0.707039 s
