Testing UnsaturatedSolinas 2^150-5 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.019991 s; user: 0.019991 s
Testing UnsaturatedSolinas 2^150-5 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.008198 s; user: 0.008166 s
Testing UnsaturatedSolinas 2^150-5 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.008952 s; user: 0.008953 s
Testing UnsaturatedSolinas 2^150-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.037640 s; user: 0.037642 s
Testing UnsaturatedSolinas 2^150-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.022773 s; user: 0.022775 s
Testing UnsaturatedSolinas 2^150-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.024179 s; user: 0.024181 s
Testing UnsaturatedSolinas 2^150-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.117025 s; user: 0.117028 s
Testing UnsaturatedSolinas 2^150-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.086340 s; user: 0.086332 s
Testing UnsaturatedSolinas 2^150-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.092259 s; user: 0.092262 s
