Testing UnsaturatedSolinas 2^336-3 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.790630 s; user: 0.790626 s
Testing UnsaturatedSolinas 2^336-3 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.314633 s; user: 0.314637 s
Testing UnsaturatedSolinas 2^336-3 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.326740 s; user: 0.326733 s
Testing UnsaturatedSolinas 2^336-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.338174 s; user: 1.338176 s
Testing UnsaturatedSolinas 2^336-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.804328 s; user: 0.804322 s
Testing UnsaturatedSolinas 2^336-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.831683 s; user: 0.831675 s
Testing UnsaturatedSolinas 2^336-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 3.454522 s; user: 3.454513 s
Testing UnsaturatedSolinas 2^336-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 2.653489 s; user: 2.653492 s
Testing UnsaturatedSolinas 2^336-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 2.712787 s; user: 2.712790 s
