Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.121825 s; user: 0.121828 s
Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.055818 s; user: 0.055819 s
Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.058413 s; user: 0.058406 s
Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.263680 s; user: 0.263666 s
Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.169963 s; user: 0.169958 s
Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.183801 s; user: 0.183804 s
Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 8; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.823585 s; user: 0.823584 s
Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 8; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.645042 s; user: 0.645040 s
Testing UnsaturatedSolinas 2^165-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 8; s := 46768052394588893382517914646921056628989841375232; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.691159 s; user: 0.691165 s
