Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.060581 s; user: 0.060582 s
Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.028748 s; user: 0.028752 s
Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.030795 s; user: 0.030797 s
Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.134105 s; user: 0.134017 s
Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.087958 s; user: 0.087961 s
Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.096075 s; user: 0.096070 s
Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 6; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.438767 s; user: 0.438740 s
Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 6; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.339958 s; user: 0.339952 s
Testing UnsaturatedSolinas 2^137-13 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 6; s := 174224571863520493293247799005065324265472; c := [(1, 13)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.359695 s; user: 0.359697 s
