Testing UnsaturatedSolinas 2^383-31 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 15; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.142320 s; user: 1.142318 s
Testing UnsaturatedSolinas 2^383-31 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 15; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.432919 s; user: 0.432922 s
Testing UnsaturatedSolinas 2^383-31 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 15; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.443657 s; user: 0.443635 s
Testing UnsaturatedSolinas 2^383-31 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 15; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.830391 s; user: 1.830363 s
Testing UnsaturatedSolinas 2^383-31 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 15; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.041732 s; user: 1.041727 s
Testing UnsaturatedSolinas 2^383-31 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 15; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.085442 s; user: 1.085441 s
Testing UnsaturatedSolinas 2^383-31 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 15; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 4.358436 s; user: 4.358407 s
Testing UnsaturatedSolinas 2^383-31 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 15; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 3.280374 s; user: 3.280355 s
Testing UnsaturatedSolinas 2^383-31 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 15; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 3.342340 s; user: 3.342296 s
