Testing UnsaturatedSolinas 2^166-5 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.091538 s; user: 0.091473 s
Testing UnsaturatedSolinas 2^166-5 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.041887 s; user: 0.041888 s
Testing UnsaturatedSolinas 2^166-5 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.044986 s; user: 0.044858 s
Testing UnsaturatedSolinas 2^166-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.198002 s; user: 0.197807 s
Testing UnsaturatedSolinas 2^166-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.128051 s; user: 0.127978 s
Testing UnsaturatedSolinas 2^166-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.138086 s; user: 0.137841 s
Testing UnsaturatedSolinas 2^166-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 7; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.614622 s; user: 0.613959 s
Testing UnsaturatedSolinas 2^166-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 7; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.479756 s; user: 0.479262 s
Testing UnsaturatedSolinas 2^166-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 7; s := 93536104789177786765035829293842113257979682750464; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.504186 s; user: 0.503664 s
