Testing UnsaturatedSolinas 2^174-3 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.096988 s; user: 0.096989 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.043586 s; user: 0.043588 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.046635 s; user: 0.046639 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.202496 s; user: 0.202499 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.129476 s; user: 0.129480 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.140521 s; user: 0.140525 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 7; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.626299 s; user: 0.626291 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 7; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.482637 s; user: 0.482607 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 7; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.512240 s; user: 0.512245 s
