Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.058685 s; user: 0.058686 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.028286 s; user: 0.028287 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.030180 s; user: 0.030182 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.134120 s; user: 0.134123 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.086921 s; user: 0.086911 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.093148 s; user: 0.093150 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.432964 s; user: 0.432969 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.336352 s; user: 0.336343 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.355321 s; user: 0.355309 s
