Testing UnsaturatedSolinas 2^266-3 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 11; s := 118571099379011784113736688648896417641748464297615937576404566024103044751294464; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.353145 s; user: 0.352841 s
Testing UnsaturatedSolinas 2^266-3 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 11; s := 118571099379011784113736688648896417641748464297615937576404566024103044751294464; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.148179 s; user: 0.147988 s
Testing UnsaturatedSolinas 2^266-3 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 11; s := 118571099379011784113736688648896417641748464297615937576404566024103044751294464; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.154593 s; user: 0.154477 s
Testing UnsaturatedSolinas 2^266-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 11; s := 118571099379011784113736688648896417641748464297615937576404566024103044751294464; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.672352 s; user: 0.671632 s
Testing UnsaturatedSolinas 2^266-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 11; s := 118571099379011784113736688648896417641748464297615937576404566024103044751294464; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.403529 s; user: 0.403049 s
Testing UnsaturatedSolinas 2^266-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 11; s := 118571099379011784113736688648896417641748464297615937576404566024103044751294464; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.436047 s; user: 0.435665 s
Testing UnsaturatedSolinas 2^266-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 11; s := 118571099379011784113736688648896417641748464297615937576404566024103044751294464; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.850141 s; user: 1.847987 s
Testing UnsaturatedSolinas 2^266-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 11; s := 118571099379011784113736688648896417641748464297615937576404566024103044751294464; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.421471 s; user: 1.419989 s
Testing UnsaturatedSolinas 2^266-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 11; s := 118571099379011784113736688648896417641748464297615937576404566024103044751294464; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.480461 s; user: 1.478876 s
