Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.065514 s; user: 0.065514 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.025466 s; user: 0.025469 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.028123 s; user: 0.028126 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.117043 s; user: 0.117045 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.065033 s; user: 0.065036 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.070880 s; user: 0.070883 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 5; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.326725 s; user: 0.326721 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 5; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.233792 s; user: 0.233779 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 5; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.249252 s; user: 0.249256 s
