Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 17; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.891899 s; user: 1.891867 s
Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 17; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.697355 s; user: 0.697362 s
Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 17; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.711856 s; user: 0.711852 s
Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 17; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.833232 s; user: 2.833174 s
Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 17; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.518465 s; user: 1.518457 s
Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 17; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.575062 s; user: 1.575026 s
Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 17; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 6.194437 s; user: 6.194357 s
Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 17; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 4.571095 s; user: 4.570998 s
Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 17; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 4.657331 s; user: 4.657265 s
