Testing UnsaturatedSolinas 2^336-17 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.167810 s; user: 0.167680 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.064131 s; user: 0.064003 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.066373 s; user: 0.066189 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.274789 s; user: 0.274594 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.151211 s; user: 0.151013 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.157498 s; user: 0.157299 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 7; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.696270 s; user: 0.695480 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 7; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.501961 s; user: 0.501430 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 7; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.532676 s; user: 0.532095 s
