Testing UnsaturatedSolinas 2^235-15 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 55213970774324510299478046898216203619608871777363092441300193790394368; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.201329 s; user: 0.201330 s
Testing UnsaturatedSolinas 2^235-15 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 55213970774324510299478046898216203619608871777363092441300193790394368; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.085751 s; user: 0.085754 s
Testing UnsaturatedSolinas 2^235-15 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 55213970774324510299478046898216203619608871777363092441300193790394368; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.089472 s; user: 0.089475 s
Testing UnsaturatedSolinas 2^235-15 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 55213970774324510299478046898216203619608871777363092441300193790394368; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.390005 s; user: 0.390000 s
Testing UnsaturatedSolinas 2^235-15 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 55213970774324510299478046898216203619608871777363092441300193790394368; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.242479 s; user: 0.242481 s
Testing UnsaturatedSolinas 2^235-15 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 55213970774324510299478046898216203619608871777363092441300193790394368; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.253023 s; user: 0.253026 s
Testing UnsaturatedSolinas 2^235-15 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 9; s := 55213970774324510299478046898216203619608871777363092441300193790394368; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.136388 s; user: 1.136377 s
Testing UnsaturatedSolinas 2^235-15 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 9; s := 55213970774324510299478046898216203619608871777363092441300193790394368; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.854429 s; user: 0.854422 s
Testing UnsaturatedSolinas 2^235-15 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 9; s := 55213970774324510299478046898216203619608871777363092441300193790394368; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.903942 s; user: 0.903942 s
