Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 17; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.549539 s; user: 1.549500 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 17; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.599660 s; user: 0.599650 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 17; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.611674 s; user: 0.611680 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 17; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.482676 s; user: 2.482652 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 17; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.438284 s; user: 1.438274 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 17; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.478000 s; user: 1.477987 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 17; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 5.953446 s; user: 5.953409 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 17; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 4.520365 s; user: 4.520308 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 17; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 4.545652 s; user: 4.545597 s
