Testing UnsaturatedSolinas 2^212-29 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 6582018229284824168619876730229402019930943462534319453394436096; c := [(1, 29)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.236637 s; user: 0.236629 s
Testing UnsaturatedSolinas 2^212-29 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 6582018229284824168619876730229402019930943462534319453394436096; c := [(1, 29)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.104126 s; user: 0.104127 s
Testing UnsaturatedSolinas 2^212-29 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 6582018229284824168619876730229402019930943462534319453394436096; c := [(1, 29)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.110800 s; user: 0.110803 s
Testing UnsaturatedSolinas 2^212-29 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 6582018229284824168619876730229402019930943462534319453394436096; c := [(1, 29)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.474092 s; user: 0.474098 s
Testing UnsaturatedSolinas 2^212-29 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 6582018229284824168619876730229402019930943462534319453394436096; c := [(1, 29)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.299038 s; user: 0.299036 s
Testing UnsaturatedSolinas 2^212-29 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 6582018229284824168619876730229402019930943462534319453394436096; c := [(1, 29)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.324029 s; user: 0.324027 s
Testing UnsaturatedSolinas 2^212-29 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 10; s := 6582018229284824168619876730229402019930943462534319453394436096; c := [(1, 29)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.449697 s; user: 1.449698 s
Testing UnsaturatedSolinas 2^212-29 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 10; s := 6582018229284824168619876730229402019930943462534319453394436096; c := [(1, 29)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.129135 s; user: 1.129100 s
Testing UnsaturatedSolinas 2^212-29 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 10; s := 6582018229284824168619876730229402019930943462534319453394436096; c := [(1, 29)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.182356 s; user: 1.182353 s
