Testing UnsaturatedSolinas 2^379-19 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 15; s := 1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697088; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.129411 s; user: 1.129406 s
Testing UnsaturatedSolinas 2^379-19 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 15; s := 1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697088; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.439554 s; user: 0.439559 s
Testing UnsaturatedSolinas 2^379-19 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 15; s := 1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697088; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.450851 s; user: 0.450840 s
Testing UnsaturatedSolinas 2^379-19 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 15; s := 1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697088; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.829557 s; user: 1.829546 s
Testing UnsaturatedSolinas 2^379-19 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 15; s := 1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697088; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.035201 s; user: 1.035200 s
Testing UnsaturatedSolinas 2^379-19 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 15; s := 1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697088; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.083205 s; user: 1.083195 s
Testing UnsaturatedSolinas 2^379-19 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 15; s := 1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697088; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 4.415703 s; user: 4.415667 s
Testing UnsaturatedSolinas 2^379-19 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 15; s := 1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697088; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 3.311616 s; user: 3.311591 s
Testing UnsaturatedSolinas 2^379-19 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 15; s := 1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697088; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 3.379888 s; user: 3.379848 s
