Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.020376 s; user: 0.020375 s
Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.008330 s; user: 0.008331 s
Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.009116 s; user: 0.008942 s
Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.037160 s; user: 0.037151 s
Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.022993 s; user: 0.022941 s
Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.025162 s; user: 0.025163 s
Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.115432 s; user: 0.115309 s
Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.086557 s; user: 0.086504 s
Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.091730 s; user: 0.091668 s
