Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 16; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.334423 s; user: 1.334381 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 16; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.520044 s; user: 0.520032 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 16; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.524792 s; user: 0.524798 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 16; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.122079 s; user: 2.122038 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 16; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.217913 s; user: 1.217877 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 16; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.248429 s; user: 1.248399 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 16; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 5.088278 s; user: 5.088237 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 16; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 3.852601 s; user: 3.852533 s
Testing UnsaturatedSolinas 2^389-21 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 16; s := 1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 3.926113 s; user: 3.925782 s
