Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.093627 s; user: 0.093627 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.036644 s; user: 0.036646 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.038933 s; user: 0.038935 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.173857 s; user: 0.173848 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.097134 s; user: 0.097135 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.105437 s; user: 0.105439 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.474429 s; user: 0.474427 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.353156 s; user: 0.353151 s
Testing UnsaturatedSolinas 2^256-189 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 189)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.371754 s; user: 0.371759 s
