Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.135902 s; user: 0.135904 s
Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.059033 s; user: 0.059034 s
Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.062198 s; user: 0.062201 s
Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.268717 s; user: 0.268719 s
Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.170360 s; user: 0.170264 s
Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.183524 s; user: 0.182803 s
Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 8; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.812062 s; user: 0.812059 s
Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 8; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.629945 s; user: 0.629835 s
Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 8; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.662909 s; user: 0.662907 s
