Testing UnsaturatedSolinas 2^243-9 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.090752 s; user: 0.090586 s
Testing UnsaturatedSolinas 2^243-9 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.035356 s; user: 0.035359 s
Testing UnsaturatedSolinas 2^243-9 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.037716 s; user: 0.037717 s
Testing UnsaturatedSolinas 2^243-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.167364 s; user: 0.167052 s
Testing UnsaturatedSolinas 2^243-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.102528 s; user: 0.101477 s
Testing UnsaturatedSolinas 2^243-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.106852 s; user: 0.106856 s
Testing UnsaturatedSolinas 2^243-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.462529 s; user: 0.462534 s
Testing UnsaturatedSolinas 2^243-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.342310 s; user: 0.342173 s
Testing UnsaturatedSolinas 2^243-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 14134776518227074636666380005943348126619871175004951664972849610340958208; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.366561 s; user: 0.366565 s
