Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.808205 s; user: 0.807317 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.328701 s; user: 0.328376 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.333035 s; user: 0.332588 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.362963 s; user: 1.361525 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.818021 s; user: 0.816962 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.861001 s; user: 0.860009 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 3.492672 s; user: 3.487234 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 2.707686 s; user: 2.697780 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 14; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 2.756600 s; user: 2.749396 s
