Testing UnsaturatedSolinas 2^511-481 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.689376 s; user: 0.689365 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.232431 s; user: 0.232434 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.244079 s; user: 0.244083 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.952409 s; user: 0.952407 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.443146 s; user: 0.443140 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.462224 s; user: 0.462230 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 10; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.885065 s; user: 1.885054 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 10; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.233337 s; user: 1.233338 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 10; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 1.281919 s; user: 1.281914 s
