Testing UnsaturatedSolinas 2^255-19 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.343365 s; user: 0.343367 s
Testing UnsaturatedSolinas 2^255-19 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.142886 s; user: 0.142889 s
Testing UnsaturatedSolinas 2^255-19 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.145778 s; user: 0.145730 s
Testing UnsaturatedSolinas 2^255-19 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.651076 s; user: 0.651066 s
Testing UnsaturatedSolinas 2^255-19 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.403999 s; user: 0.404005 s
Testing UnsaturatedSolinas 2^255-19 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.423420 s; user: 0.423415 s
Testing UnsaturatedSolinas 2^255-19 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.831542 s; user: 1.831537 s
Testing UnsaturatedSolinas 2^255-19 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.412606 s; user: 1.412606 s
Testing UnsaturatedSolinas 2^255-19 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 11; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.469470 s; user: 1.469475 s
