Testing UnsaturatedSolinas 2^511-187 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 11; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.832809 s; user: 0.832809 s
Testing UnsaturatedSolinas 2^511-187 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 11; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.294872 s; user: 0.294876 s
Testing UnsaturatedSolinas 2^511-187 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 11; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.299838 s; user: 0.299835 s
Testing UnsaturatedSolinas 2^511-187 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 11; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.145252 s; user: 1.145250 s
Testing UnsaturatedSolinas 2^511-187 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 11; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.560773 s; user: 0.560779 s
Testing UnsaturatedSolinas 2^511-187 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 11; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.600291 s; user: 0.600286 s
Testing UnsaturatedSolinas 2^511-187 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 11; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.331075 s; user: 2.331071 s
Testing UnsaturatedSolinas 2^511-187 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 11; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.550123 s; user: 1.550022 s
Testing UnsaturatedSolinas 2^511-187 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 11; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 187)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 1.602555 s; user: 1.602543 s
