Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 12; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.476136 s; user: 0.476141 s
Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 12; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.191768 s; user: 0.191761 s
Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 12; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.199001 s; user: 0.199004 s
Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 12; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.850591 s; user: 0.850590 s
Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 12; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.500452 s; user: 0.500424 s
Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 12; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.532512 s; user: 0.532508 s
Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 12; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.279143 s; user: 2.279143 s
Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 12; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.736500 s; user: 1.736510 s
Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 12; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.826592 s; user: 1.826583 s
