Testing UnsaturatedSolinas 2^512-569 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.677565 s; user: 0.677554 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.241160 s; user: 0.241164 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.243003 s; user: 0.243008 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.937304 s; user: 0.937302 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.451834 s; user: 0.451830 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.460141 s; user: 0.460145 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 10; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.857245 s; user: 1.857236 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 10; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.231790 s; user: 1.231790 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 10; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 1.284534 s; user: 1.284534 s
